Time [s],Plantarflexion(+)/dorsiflexion(-),Supination(-)/pronation(+)
6.55,-8.924823007589804,14.7508182865798
6.6,-8.864336755019641,14.77119376015425
6.65,-8.914632258254484,14.380425846593067
6.7,-9.063201466834684,13.541959223156251
6.75,-9.265006553794816,12.257627739659716
6.8,-9.547623077408996,10.609601681009927
6.85,-9.891847760885534,8.37553319623364
6.9,-9.946381694734104,5.502550586615293
6.95,-9.042638935289668,2.72007961901757
7.0,-7.6055214861714875,-0.008089928931755301
7.05,-5.838507338220233,-3.6962922124987183
7.1,-4.212597042127176,-6.724492767416737
7.15,-5.102599033409104,-10.365333715219064
7.2,-8.244869767965454,-13.565800678273705
7.25,-12.048628333245802,-15.559658230455629
7.3,-14.65819855088688,-17.39641768762883
7.35,-16.30480395701409,-17.255743436011493
7.4,-17.92073146478984,-16.49781372719819
7.45,-18.168690791399246,-16.286469349212332
7.5,-17.822386427567434,-15.826032362357473
7.55,-17.3747716922048,-14.73843162290423
7.6,-16.91483049994154,-13.743385425383591
7.65,-16.408082233141567,-12.982194473880323
7.7,-15.721323916321083,-12.272640639742196
7.75,-14.887575727812823,-11.5549612686016
7.8,-14.205032818188403,-11.044804139202181
7.85,-13.899942032916258,-11.023605509736969
7.9,-14.044826357043814,-11.27132752546243
7.95,-14.526057902909676,-11.487417515622461
8.0,-14.881299606827534,-11.87550462745895
8.05,-15.080916743911283,-12.419880228889905
8.1,-15.263792864367622,-12.970346268069791
8.15,-15.51152307674364,-13.472079293083803
8.2,-15.791488101981878,-13.877456061514554
8.25,-16.053090187136675,-14.303789988588498
8.3,-16.17670173875856,-14.71482944369745
8.35,-16.14581137121317,-15.119513132324792
8.4,-15.996225694503131,-15.242845489027832
8.45,-15.793827649917981,-15.285635850476659
8.5,-15.547480159452148,-15.335154343271057
8.55,-15.406450934760992,-15.407285748260279
8.6,-15.500358529118,-15.418609487113397
8.65,-15.82202719632332,-15.33612136180625
8.7,-16.20952942568818,-15.20095141012271
8.75,-16.573054644662417,-14.978908313472449
8.8,-16.96144831919751,-14.689254090962828
8.85,-17.21857942571009,-14.511354923657265
8.9,-17.441667930011487,-14.407305504501151
8.95,-17.549984555699744,-14.36332272840908
9.0,-17.533049802230707,-14.314774385079078
9.05,-17.40260945234388,-14.248786854371458
9.1,-17.290205518572677,-14.098715056009363
9.15,-17.134804301311956,-14.021548041553269
9.2,-16.97810058327481,-13.920544798660732
9.25,-16.816484690519275,-13.799853396337705
9.3,-16.673537423636642,-13.67987835798976
9.35,-16.573121901885223,-13.587429724996031
9.4,-16.513365787826974,-13.526559093434223
9.45,-16.478342173230132,-13.463224840938043
9.5,-16.504998151435366,-13.385379511295364
9.55,-16.693186134053988,-13.348427444919725
9.6,-17.10426746080702,-13.375983125568043
9.65,-17.579436015751796,-13.394665398632531
9.7,-18.104762223073674,-13.452132511352586
9.75,-18.597688721609952,-13.493046368508487
9.8,-18.970177164844443,-13.478819240172486
9.85,-19.237295269699477,-13.40008951585673
9.9,-19.13943394363566,-13.376919793824202
9.95,-18.941543828266624,-13.333146102405369
10.0,-18.625000285288742,-13.274345774670687
10.05,-18.274796982678232,-13.209952748327073
10.1,-17.963571806674995,-13.130353183537563
10.15,-17.709511835315244,-13.114868015371375
10.2,-17.58673580234072,-13.276923285593293
10.25,-17.69920133926929,-13.78586349901272
10.3,-18.064776824723047,-14.685622683828823
10.35,-18.64968077583037,-15.879416983162537
10.4,-19.445795526830327,-17.209274593831715
10.45,-20.468190757448646,-18.654917518877483
10.5,-21.810819799747346,-20.29688280297229
10.55,-23.341552566378198,-22.21238090947425
10.6,-24.32188799170301,-24.700733896258953
10.65,-23.66551108708386,-27.24433178977916
10.7,-21.80355690155258,-26.85641734501625
10.75,-20.11671090183691,-24.07062288705054
10.8,-18.200213567384697,-20.073681864070736
10.85,-16.20128428160746,-14.648658083342362
10.9,-14.610335868265718,-8.583657069424365
10.95,-13.39676706596719,-5.428416057556274
11.0,-12.162223184845518,-4.182933434782769
11.05,-10.906617133668515,-3.931848266699293
11.1,-9.214421755140487,-4.382189776237327
11.15,-7.597370117315048,-5.563397578183782
11.2,-6.426990525138995,-7.210055215060652
11.25,-5.632830375782897,-10.029286155649425
11.3,-4.964028762315223,-13.17474433647265
11.35,-5.0614931633339,-15.208889773340422
11.4,-7.710308547602512,-15.51354089736203
11.45,-11.31073016073096,-13.612567363004706
11.5,-15.745646909613889,-11.268449189035815
11.55,-19.10405612932445,-9.119983157013483
11.6,-20.186246208190227,-7.593221224871823
11.65,-20.784782508308126,-7.2817834612060155
11.7,-21.141315013556937,-7.478453903693163
11.75,-20.967805673487934,-7.379637984550146
11.8,-20.467043155764326,-7.506147477862079
11.85,-20.05894405067435,-7.727741764581242
11.9,-19.842016649471027,-7.765555166426603
11.95,-19.908481468858056,-7.726336289066932
12.0,-20.018781351484566,-7.892207535814413
12.05,-19.94973214252909,-7.783521831207077
12.1,-19.886027245793855,-7.834692210072096
12.15,-20.065482405219186,-7.913452371887829
12.2,-20.81611719451339,-8.1833353063432
12.25,-21.171904621671295,-8.605280702738721
12.3,-20.630600115814715,-9.062834055838778
12.35,-19.77814503380839,-9.540453809221392
12.4,-19.016590717858346,-10.196690187434497
12.45,-18.505189924293116,-10.854860394349014
12.5,-18.05215682039047,-11.475447398024206
12.55,-17.597867774401532,-12.046813805035175
12.6,-17.308400477566785,-12.65158888009104
12.65,-17.274046286911155,-13.190196849343568
12.7,-17.175490579098774,-13.61534165138658
12.75,-16.971418742745907,-14.2752122345733
12.8,-16.632635724881546,-14.99518633196113
12.85,-16.79528709483212,-15.543154959173554
12.9,-17.710563631655443,-15.316685850026905
12.95,-19.836696855082803,-14.39854712359368
13.0,-22.751561693063426,-12.995492782748922
13.05,-25.69580081518879,-11.176324321526028
13.1,-28.480677660367277,-9.37294228669139
13.15,-28.36849400881291,-7.389246915492001
13.2,-25.568707808691478,-5.927971892608197
13.25,-21.542661832634256,-4.930646750028356
13.3,-17.925950105309493,-4.078061486982351
13.35,-14.16694330915943,-4.199653031191925
13.4,-9.896944194284213,-5.449707078952195
13.45,-6.468311006065461,-4.8659670266609485
13.5,-6.892030312873126,-3.6386352924133596
13.55,-5.574851974520138,-2.0878245894396614
13.6,-3.973107189285978,0.408113381735102
13.65,-3.5366198900681782,1.1065043136777808
13.7,-2.7500304134591445,0.6451722678032095
13.75,-3.1016820079821525,0.23117356737492142
13.8,-4.223506837884502,0.4873877592001756
13.85,-6.382216531751131,0.8101810397489885
13.9,-6.810236684822575,-1.06922704839114
13.95,-7.589848853576293,-5.152311012953835
14.0,-10.211014426533856,-10.601923881995832
14.05,-12.375743743480728,-16.07821459552435
14.1,-14.787049351353064,-20.346243527648074
14.15,-14.643152192678278,-21.73592894491526
14.2,-10.976848897988914,-20.359646306592975
14.25,-6.305741808237985,-17.060255544653696
14.3,-0.8060537127803565,-13.395973358774027
14.35,3.5935962459639756,-12.90572592446204
14.4,4.621222597519095,-14.574064027911064
14.45,2.4395665582414,-15.807743316227024
14.5,-0.3171635925403225,-13.617027873333333
14.55,-3.368972414097373,-10.064395263408253
14.6,-4.626771282200756,-5.666794410437815
14.65,-4.282161921901335,-3.142293778515995
14.7,-4.046857461960391,-1.6218222979724533
14.75,-4.075363203903535,-0.4291166279430997
14.8,-4.72306145030153,0.35708215117915704
14.85,-5.693735884996727,1.0173909992986492
14.9,-6.435433122878212,1.6952865894442943
14.95,-6.948221500907215,2.4501369623451046
15.0,-7.275949874010129,3.2043828017522387
15.05,-7.523459880484732,3.823910171078353
15.1,-7.763267671590385,4.306166186686303
15.15,-7.972005922310466,4.420640550999705
15.2,-8.007109333173677,4.212092696132236
15.25,-7.9242796684323045,3.7269529525130842
15.3,-7.731245308854833,2.729259374231651
15.35,-7.46814078956593,1.0129586523669065
15.4,-7.016589255259233,-0.9725873741778222
15.45,-6.095493624382922,-2.7531632950451
15.5,-5.1080125469095625,-3.5271511418739427
15.55,-4.753369677430787,-2.901557979248302
15.6,-4.544858605049375,-1.8170789664313436
15.65,-4.173845548331436,-1.2191636240536476
15.7,-3.51078780351123,-0.631350666213551
15.75,-2.9079878843933424,-0.31626566603850453
15.8,-2.3565513317533147,-0.08507391495924402
15.85,-2.0053146854547195,0.3118482176752959
15.9,-1.9910965348144878,0.9180639945256269
15.95,-2.311411996770619,1.787843579607698
16.0,-2.762614785551608,2.809674040147835
16.05,-3.1220509852257683,3.7271274804931296
16.1,-3.3004452014376326,4.490885202453036
16.15,-3.3011591128463444,5.142984927544505
16.2,-3.1493155026297033,5.761439313877231
16.25,-2.937368200037272,6.4097444553861695
16.3,-2.7021898093681807,7.170345724726935
16.35,-2.448341267601314,7.951937424450409
16.4,-2.0683289776683638,8.723887145984168
16.45,-1.6555019931715014,9.307358395454445
16.5,-1.466595581364401,9.846408598184185
16.55,-1.5453481223722736,10.385185382419687
16.6,-1.8962194456851977,10.864003512735488
16.65,-2.3186730962644213,11.13497656954378
16.7,-2.5951937139334285,11.372740813453898
16.75,-2.5987662051103313,11.709176749689266
16.8,-2.482496642056282,11.967179919980655
16.85,-2.419442655814898,12.057705993142553
16.9,-2.463548118724919,12.047876556232124
16.95,-2.384610735821765,11.903938944457327
17.0,-2.1146830247840147,11.809606287674965
17.05,-1.788037544067865,11.790506598963914
17.1,-1.4617181958399514,11.636866581495497
17.15,-1.1453248603476296,11.403296318443427
17.2,-0.8055056433539318,11.197968188708975
17.25,-0.4845222628371586,11.019440682860868
17.3,-0.23778767274480625,10.852347403216847
17.35,0.04034431682297941,10.336403883864532
17.4,-0.08102434652527209,9.874274395769891
17.45,-0.7072910522999334,9.49766816394242
17.5,-2.1308590611417624,8.95580806565869
17.55,-4.713981518066038,8.243296119777678
17.6,-7.398943969415218,6.580535629462281
17.65,-9.107530317238147,3.862130951557722
17.7,-8.65295060439005,0.2781826243758921
17.75,-6.765173250159651,-4.064537739776886
17.8,-4.435311464157653,-8.631336346286364
17.85,-5.426479369877215,-12.05162576875378
17.9,-7.385298107488934,-13.406283535232774
17.95,-8.742199436967086,-14.356597323093787
18.0,-10.892897580869496,-14.169329473293049
18.05,-13.26730975125412,-14.884563254583929
18.1,-13.825260147431242,-15.852718266142391
18.15,-13.027638694061642,-15.462402000576793
18.2,-12.289594542476257,-15.309602278041067
18.25,-11.902095879310043,-14.869760711212527
18.3,-11.427062571903226,-14.44499593575127
18.35,-10.710747411177303,-13.718743893286957
18.4,-9.996772196905045,-12.81980298655677
18.45,-9.008782837572882,-12.222295136714997
18.5,-7.821432126194007,-11.899380436946329
18.55,-6.625795541990707,-11.57804950621223
18.6,-5.460834416389639,-11.187822469902287
18.65,-4.226505983771526,-10.963754238765068
18.7,-3.1544351075854995,-10.780022609250668
18.75,-2.3395512372731413,-10.609487982682138
18.8,-1.7839983938088089,-10.623862062737604
18.85,-1.5143013632355276,-10.30192962055372
18.9,-1.3370603196525384,-10.193618460819287
18.95,-1.3171783334980578,-10.142999209295798
19.0,-1.646822961033049,-9.702707736073675
19.05,-1.9960745512674358,-9.145377085292807
19.1,-2.0473635372452295,-8.798846362768712
19.15,-2.1914903959021252,-8.484813647543314
19.2,-2.112957607781085,-7.9465351979775045
19.25,-1.8370747407807715,-7.82676170114243
19.3,-1.6196817890651651,-7.799363114617393
19.35,-1.521217338280612,-7.744580765096574
19.4,-1.3770343991441005,-7.495337582346528
19.45,-0.9842639896048039,-7.3528772671111735
19.5,-0.4173982634301993,-7.078068919619561
19.55,0.1377384768166064,-6.938243754439523
19.6,0.4719707792103057,-6.8065205426589195
19.65,0.5227124731725854,-7.0145512841913815
19.7,0.48490046157499206,-6.911856066106587
19.75,0.577794296537916,-6.863277010272338
19.8,0.7238568225526179,-7.2361045424703825
19.85,0.8019577258258249,-7.2773242442623145
19.9,0.4607820696227734,-7.253366155147205
19.95,-0.1020909231105344,-7.354646201273748
20.0,-0.3590855988115831,-7.741907078048623
20.05,-0.4577820070939163,-8.266859217816474
20.1,-0.4643665929910402,-8.746613441156661
20.15,-0.25190834681427715,-9.252485980811645
20.2,0.16196826023479508,-9.69727897844625
20.25,0.4750207210200891,-10.072657453244808
20.3,0.611461352641185,-10.449547726670984
20.35,0.6928019556489515,-10.93509801206493
20.4,0.7458226739153467,-11.438706969389207
20.45,0.6580052188673178,-11.728198706732195
20.5,0.5262564445423985,-12.140639609424156
20.55,0.33147489492220883,-12.667319224376753
20.6,0.24045247080808568,-12.98587318023699
20.65,0.3164697026177483,-13.217832256361657
20.7,0.4840439689712039,-13.393876472198947
20.75,0.6108460980526127,-13.648045469879033
20.8,0.7848452349758042,-14.06696146467433
20.85,0.8335000225707685,-14.454698988018066
20.9,0.9137733025540733,-14.654292891533059
20.95,1.0497574250768924,-14.740412281711661
21.0,1.1020176869821676,-14.76558322356759
21.05,1.1461666863514255,-14.924895555673826
21.1,1.180192462121222,-15.308130190848782
21.15,1.1188706325298035,-15.66283924817727
21.2,0.9033423775609905,-16.054448610275518
21.25,0.395391933199988,-16.527314874539456
21.3,-0.8525575531515094,-16.826067250629723
21.35,-3.631019421990635,-16.78621299341254
21.4,-6.2007512601461725,-16.537319215233826
21.45,-8.660367821819847,-15.539559215013604
21.5,-11.727223239348705,-14.084071227472702
21.55,-15.247615389925015,-12.824636789453958
21.6,-18.413835012976282,-11.86303599504789
21.65,-21.67255597294458,-12.080232204508404
21.7,-24.071948669126396,-13.317148884221234
21.75,-24.9693069335095,-15.18278064992713
21.8,-24.78653094450525,-16.61880524975145
21.85,-23.893658925612634,-16.98523462989376
21.9,-22.417554690454843,-17.232723560057767
21.95,-21.56828739173613,-17.72357717888564
22.0,-21.393450921300417,-17.947403477228953
22.05,-21.40621297493404,-18.695440919062808
22.1,-21.096632294934622,-19.094417171626024
22.15,-20.556258524915215,-18.778163272853302
22.2,-20.2034157816636,-18.098151577022463
22.25,-19.88479156720234,-18.00253316170172
22.3,-19.76026481517487,-18.199293872516336
22.35,-18.949187872782513,-17.97267832154227
22.4,-18.123878978410733,-18.10980079488031
22.45,-17.485066561862254,-18.210400631750314
22.5,-17.071166251611345,-18.48092593788105
22.55,-16.84255867886217,-18.589928358516875
22.6,-16.996906608756664,-18.74451971554163
22.65,-17.258911196939998,-18.832181352141646
22.7,-17.550808308121177,-18.525149046196834
22.75,-18.099919521282192,-18.314533419212573
22.8,-18.99980872205246,-18.304635550133476
22.85,-19.687021832496338,-18.30619820197388
22.9,-19.887698579323526,-17.731446033701687
22.95,-19.793067962336767,-17.051329733917488
23.0,-19.814968334685762,-16.489848952481918
23.05,-19.619979623909046,-16.09109616239114
23.1,-19.157090132391748,-16.02462167759445
23.15,-18.90879803010771,-16.42241647877792
23.2,-18.286888436432164,-16.853863834019737
23.25,-17.91861053181038,-17.081298661609157
23.3,-17.85740974063936,-17.12489329326283
23.35,-18.23554054146946,-17.12675817479739
23.4,-19.217999469919153,-16.837879244275584
23.45,-20.236112285186834,-16.84135104226443
23.5,-20.720704506472615,-16.507976819768672
23.55,-21.032515382715648,-16.45358024443112
23.6,-21.156625253912882,-17.227345480310717
23.65,-21.143332889268304,-17.804911458536434
23.7,-21.164661903176757,-18.248632968331382
23.75,-21.29846047144755,-18.874806388398518
23.8,-21.56391856247531,-19.576032918940836
23.85,-22.08888550376932,-19.88957776100213
23.9,-22.81863162481182,-20.917390024140534
23.95,-22.74069765406675,-22.22470778837434
24.0,-22.39318448598835,-23.136315922636282
24.05,-22.000265012741085,-23.036832938132353
24.1,-21.860050908953884,-20.983910752414754
24.15,-21.7489420742835,-17.996291766001292
24.2,-21.482516785358197,-14.500048104145215
24.25,-21.62492043181779,-11.98720914497502
24.3,-20.69203934127195,-11.340320776569957
24.35,-18.80698076413948,-11.632942855458817
24.4,-15.540560814622886,-14.442407588397725
24.45,-12.77100541968627,-16.727977963786312
24.5,-10.14896607810348,-18.064455558483417
24.55,-9.25634974850099,-19.232720237377745
24.6,-9.39384970976934,-21.34301016325839
24.65,-9.196727501602757,-22.818107165119685
24.7,-8.634376104687956,-22.184750844103792
24.75,-8.188209187921522,-20.543182664278667
24.8,-10.311384302435705,-17.54183860283751
24.85,-11.159239329072419,-15.837910953641174
